Calculation,Time,,,
548,2.74653E-05,,,
549,2.66088E-05,,,
550,2.62269E-05,,,
551,2.66667E-05,,,
552,2.83333E-05,,,
553,2.63773E-05,,,
554,2.58565E-05,,,
555,2.61111E-05,,,
556,2.61458E-05,,,
557,2.71875E-05,,,
558,0.0000275,,,
559,2.58333E-05,,,
560,2.62731E-05,,,
561,2.6169E-05,,,
562,2.91204E-05,,,
563,2.64468E-05,,,
564,2.64352E-05,,,
565,2.62963E-05,,,
566,2.68634E-05,,,
567,2.62731E-05,,,
568,2.64815E-05,,,
569,0.00002625,,,
570,2.60764E-05,,,
571,2.66667E-05,,,
572,2.75926E-05,,,
573,2.57176E-05,,,
574,2.6331E-05,,,
575,0.00002625,,,
576,2.6713E-05,,,
577,2.86343E-05,,,
578,2.64931E-05,,,
579,2.5787E-05,,,
580,2.59375E-05,,,
581,2.64468E-05,,,
582,2.70255E-05,,,
583,2.66204E-05,,,
584,2.74884E-05,,,
585,2.75116E-05,,,
586,2.61921E-05,,,
587,2.66088E-05,,,
588,2.64699E-05,,,
589,2.68634E-05,,,
590,2.60301E-05,,,
591,2.61227E-05,,,
592,2.72338E-05,,,
593,2.67014E-05,,,
594,2.67593E-05,,,
595,2.60185E-05,,,
596,2.64931E-05,,,
597,2.62616E-05,,,
598,2.69213E-05,,,
599,2.62384E-05,,,
600,2.62153E-05,,,
601,3.72569E-05,,,
602,3.69676E-05,,,
603,3.47106E-05,,,
604,3.08218E-05,,,
605,3.72801E-05,,,
606,2.60301E-05,,,
607,2.70833E-05,,,
608,2.59491E-05,,,
609,2.6412E-05,,,
610,2.6412E-05,,,
611,2.7037E-05,,,
612,2.63426E-05,,,
613,0.00002625,,,
614,2.70255E-05,,,
615,2.68403E-05,,,
616,2.60764E-05,,,
617,2.5706E-05,,,
618,2.70023E-05,,,
619,2.71528E-05,,,
620,2.73958E-05,,,
621,2.61227E-05,,,
622,2.60764E-05,,,
623,2.71296E-05,,,
624,2.6169E-05,,,
625,2.79051E-05,,,
626,2.61111E-05,,,
627,2.65394E-05,,,
628,2.61921E-05,,,
629,2.56134E-05,,,
630,2.79977E-05,,,
631,2.74537E-05,,,
632,2.68519E-05,,,
633,2.6169E-05,,,
634,2.57639E-05,,,
635,2.64236E-05,,,
636,2.62963E-05,,,
637,2.67014E-05,,,
638,2.60069E-05,,,
639,2.79745E-05,,,
640,2.73843E-05,,,
641,2.62731E-05,,,
642,2.64236E-05,,,
643,2.70255E-05,,,
644,2.58796E-05,,,
645,2.77315E-05,,,
646,2.79745E-05,,,
647,2.64352E-05,,,
648,2.65278E-05,,,
649,2.60764E-05,,,
650,2.70023E-05,,,
651,2.58912E-05,,,
652,2.60764E-05,,,
653,2.74074E-05,,,
654,2.72685E-05,,,
655,2.6713E-05,,,
656,2.59259E-05,,,
657,2.60995E-05,,,
658,2.60995E-05,,,
659,2.63194E-05,,,
660,2.76273E-05,,,
661,2.64815E-05,,,
662,2.60185E-05,,,
663,2.60417E-05,,,
664,2.59606E-05,,,
665,2.76968E-05,,,
666,2.59954E-05,,,
667,2.59606E-05,,,
668,2.63194E-05,,,
669,2.64699E-05,,,
670,2.61458E-05,,,
671,2.62616E-05,,,
672,2.6088E-05,,,
673,2.61574E-05,,,
674,2.60648E-05,,,
675,2.65394E-05,,,
676,2.58565E-05,,,
677,2.67361E-05,,,
678,6.48727E-05,,,
679,2.6331E-05,,,
680,2.78356E-05,,,
681,2.57639E-05,,,
682,2.60532E-05,,,
683,3.92824E-05,,,
684,2.7037E-05,,,
685,2.75694E-05,,,
686,2.86806E-05,,,
687,2.74653E-05,,,
688,2.84838E-05,,,
689,2.65509E-05,,,
690,2.77431E-05,,,
691,2.66667E-05,,,
692,2.66319E-05,,,
693,2.80208E-05,,,
694,2.59259E-05,,,
695,2.60995E-05,,,
696,2.71296E-05,,,
697,2.63426E-05,,,
698,2.69444E-05,,,
699,2.63889E-05,,,
700,2.6088E-05,,,
701,2.70023E-05,,,
702,2.8588E-05,,,
703,2.96296E-05,,,
704,2.77662E-05,,,
705,2.81481E-05,,,
706,2.84838E-05,,,
707,2.75579E-05,,,
708,2.85185E-05,,,
709,2.79977E-05,,,
710,2.79861E-05,,,
711,2.80208E-05,,,
712,2.77083E-05,,,
713,2.96875E-05,,,
714,2.88657E-05,,,
715,2.87731E-05,,,
716,2.77315E-05,,,
717,2.89699E-05,,,
718,2.7662E-05,,,
719,2.6794E-05,,,
720,2.78935E-05,,,
721,2.75463E-05,,,
722,3.01157E-05,,,
723,2.71181E-05,,,
724,2.63773E-05,,,
725,2.65856E-05,,,
726,2.67824E-05,,,
727,3.02662E-05,,,
728,2.90972E-05,,,
729,2.93634E-05,,,
730,2.84491E-05,,,
731,2.90162E-05,,,
732,2.78472E-05,,,
733,2.79398E-05,,,
734,2.66435E-05,,,
735,2.72222E-05,,,
736,2.60764E-05,,,
737,2.58102E-05,,,
738,2.61111E-05,,,
739,2.61806E-05,,,
740,2.63426E-05,,,
741,2.76273E-05,,,
742,2.60532E-05,,,
743,2.68634E-05,,,
744,2.64352E-05,,,
745,2.63194E-05,,,
746,2.73611E-05,,,
747,2.60648E-05,,,
748,2.76968E-05,,,
749,2.6169E-05,,,
750,2.70833E-05,,,
751,2.91898E-05,,,
752,2.58565E-05,,,
753,2.81713E-05,,,
754,2.65972E-05,,,
755,2.6331E-05,,,
756,2.65741E-05,,,
757,2.61574E-05,,,
758,2.69444E-05,,,
759,2.67014E-05,,,
760,2.62384E-05,,,
761,2.75116E-05,,,
762,2.61806E-05,,,
763,2.61111E-05,,,
764,2.68519E-05,,,
765,2.67245E-05,,,
766,2.64005E-05,,,
767,2.67245E-05,,,
768,2.63194E-05,,,
769,2.63426E-05,,,
770,2.60532E-05,,,
771,2.65046E-05,,,
772,2.89236E-05,,,
773,2.60764E-05,,,
774,2.58102E-05,,,
775,2.68171E-05,,,
776,2.65162E-05,,,
777,2.61227E-05,,,
778,2.55903E-05,,,
779,2.71528E-05,,,
780,2.67708E-05,,,
781,2.63079E-05,,,
782,2.59606E-05,,,
783,2.6412E-05,,,
784,2.66782E-05,,,
785,2.61343E-05,,,
786,2.78588E-05,,,
787,2.61227E-05,,,
788,2.62384E-05,,,
789,2.68403E-05,,,
790,2.6794E-05,,,
791,2.59144E-05,,,
792,2.74074E-05,,,
793,2.70255E-05,,,
794,2.6956E-05,,,
795,2.60532E-05,,,
796,2.85417E-05,,,
797,2.63194E-05,,,
798,2.62384E-05,,,
799,2.56944E-05,,,
800,2.63194E-05,,,
801,2.77546E-05,,,
802,2.59838E-05,,,
803,2.64005E-05,,,
804,2.57176E-05,,,
805,2.64583E-05,,,
806,2.72338E-05,,,
807,2.60648E-05,,,
808,2.65509E-05,,,
809,2.55671E-05,,,
810,2.60417E-05,,,
811,2.72569E-05,,,
812,2.66667E-05,,,
813,2.59144E-05,,,
814,2.64931E-05,,,
815,2.77199E-05,,,
816,2.76968E-05,,,
817,2.61806E-05,,,
818,2.66898E-05,,,
819,2.66319E-05,,,
820,2.66204E-05,,,
821,2.77894E-05,,,
822,2.65856E-05,,,
823,2.62847E-05,,,
824,2.63194E-05,,,
825,2.67593E-05,,,
826,2.68981E-05,,,
827,2.5706E-05,,,
828,2.6713E-05,,,
829,2.60417E-05,,,
830,2.75116E-05,,,
831,2.63194E-05,,,
832,2.63542E-05,,,
833,2.60995E-05,,,
834,2.61343E-05,,,
835,2.67245E-05,,,
836,2.95255E-05,,,
837,2.66088E-05,,,
838,2.62847E-05,,,
839,2.71065E-05,,,
840,2.66088E-05,,,
841,2.65509E-05,,,
842,2.62616E-05,,,
843,2.63194E-05,,,
844,2.6331E-05,,,
845,0.00002625,,,
846,2.76736E-05,,,
847,2.73611E-05,,,
848,2.60417E-05,,,
849,2.97222E-05,,,
850,2.59954E-05,,,
851,2.64699E-05,,,
852,2.71412E-05,,,
853,2.63889E-05,,,
854,2.64236E-05,,,
855,2.6794E-05,,,
856,2.71528E-05,,,
857,2.63657E-05,,,
858,2.85764E-05,,,
859,0.00003,,,
860,2.6088E-05,,,
861,2.91088E-05,,,
862,2.71296E-05,,,
863,2.5787E-05,,,
864,2.77894E-05,,,
865,2.6169E-05,,,
866,2.72454E-05,,,
867,2.58449E-05,,,
868,2.61574E-05,,,
869,2.60417E-05,,,
870,2.58333E-05,,,
871,2.76968E-05,,,
872,2.59144E-05,,,
873,2.65278E-05,,,
874,2.71412E-05,,,
875,2.58333E-05,,,
876,2.67824E-05,,,
877,2.60532E-05,,,
878,2.69676E-05,,,
879,2.64005E-05,,,
880,2.77431E-05,,,
881,2.65972E-05,,,
882,2.66319E-05,,,
883,2.8287E-05,,,
884,2.63773E-05,,,
885,2.64236E-05,,,
886,3.18866E-05,,,
887,2.62037E-05,,,
888,2.60995E-05,,,
889,2.61921E-05,,,
890,2.64699E-05,,,
891,2.78125E-05,,,
892,2.61806E-05,,,
893,2.57639E-05,,,
894,2.71296E-05,,,
895,2.6794E-05,,,
896,3.00463E-05,,,
897,2.74769E-05,,,
898,2.65856E-05,,,
899,2.65509E-05,,,
900,2.57986E-05,,,
901,2.64352E-05,,,
902,2.64236E-05,,,
903,2.63657E-05,,,
904,2.62384E-05,,,
905,2.68634E-05,,,
906,2.74653E-05,,,
907,2.64931E-05,,,
908,2.58565E-05,,,
909,2.82523E-05,,,
910,2.65046E-05,,,
911,2.62731E-05,,,
912,2.77894E-05,,,
913,2.61227E-05,,,
914,2.65509E-05,,,
915,0.00002625,,,
916,2.65741E-05,,,
917,2.66319E-05,,,
918,2.68866E-05,,,
919,2.69792E-05,,,
920,3.38657E-05,,,
921,3.11227E-05,,,
922,2.66204E-05,,,
923,2.68403E-05,,,
924,2.68403E-05,,,
925,2.65046E-05,,,
926,2.59375E-05,,,
927,2.61458E-05,,,
928,2.70255E-05,,,
929,2.60764E-05,,,
930,2.64699E-05,,,
931,2.59954E-05,,,
932,2.58565E-05,,,
933,0.00002625,,,
934,2.61921E-05,,,
935,2.77431E-05,,,
936,2.57523E-05,,,
937,2.65394E-05,,,
938,2.61227E-05,,,
939,2.59722E-05,,,
940,2.79861E-05,,,
941,2.79861E-05,,,
942,2.58565E-05,,,
943,2.62731E-05,,,
944,2.7419E-05,,,
945,2.71412E-05,,,
946,2.58449E-05,,,
947,2.6169E-05,,,
948,2.60995E-05,,,
